year_month,location,date,irradiance,temp_c
2018-01,Changhua,2018-01-16 00:00:00,2.629912903225806,17.22451612903226
2018-01,Chiayi,2018-01-16 00:00:00,3.1130290322580647,16.072903225806453
2018-01,Hsinchu,2018-01-16 00:00:00,2.629912903225806,14.576129032258065
2018-01,Hualien,2018-01-16 00:00:00,2.240693548387097,20.11935483870968
2018-01,Kaohsiung,2018-01-16 00:00:00,3.3497032258064516,21.221290322580646
2018-01,Miaoli,2018-01-16 00:00:00,2.629912903225806,16.700322580645164
2018-01,Pingtung,2018-01-16 00:00:00,3.3497032258064516,20.598387096774193
2018-01,Taichung,2018-01-16 00:00:00,2.629912903225806,17.22451612903226
2018-01,Tainan,2018-01-16 00:00:00,3.1130290322580647,19.73483870967742
2018-01,Taipei,2018-01-16 00:00:00,1.9387225806451613,14.576129032258065
2018-01,Taitung,2018-01-16 00:00:00,2.2610451612903226,17.387096774193548
2018-01,Taoyuan,2018-01-16 00:00:00,2.4128580645161293,14.576129032258065
2018-01,Yunlin,2018-01-16 00:00:00,3.1130290322580647,16.072903225806453
2018-02,Changhua,2018-02-14 12:00:00,2.785307142857143,16.767500000000002
2018-02,Chiayi,2018-02-14 12:00:00,3.4112178571428573,15.80107142857143
2018-02,Hsinchu,2018-02-14 12:00:00,2.785307142857143,13.719285714285714
2018-02,Hualien,2018-02-14 12:00:00,2.4345142857142856,19.746785714285714
2018-02,Kaohsiung,2018-02-14 12:00:00,3.6158714285714284,20.763571428571428
2018-02,Miaoli,2018-02-14 12:00:00,2.785307142857143,15.880714285714287
2018-02,Pingtung,2018-02-14 12:00:00,3.6158714285714284,20.384999999999998
2018-02,Taichung,2018-02-14 12:00:00,2.785307142857143,16.767500000000002
2018-02,Tainan,2018-02-14 12:00:00,3.4112178571428573,19.06392857142857
2018-02,Taipei,2018-02-14 12:00:00,2.011646428571429,13.719285714285714
2018-02,Taitung,2018-02-14 12:00:00,2.449867857142857,17.16142857142857
2018-02,Taoyuan,2018-02-14 12:00:00,2.5996107142857143,13.719285714285714
2018-02,Yunlin,2018-02-14 12:00:00,3.4112178571428573,15.80107142857143
2018-03,Changhua,2018-03-16 00:00:00,4.534525806451613,20.36032258064516
2018-03,Chiayi,2018-03-16 00:00:00,5.0185258064516125,18.678709677419352
2018-03,Hsinchu,2018-03-16 00:00:00,4.534525806451613,18.131612903225808
2018-03,Hualien,2018-03-16 00:00:00,4.083509677419355,22.41032258064516
2018-03,Kaohsiung,2018-03-16 00:00:00,5.357106451612903,23.73548387096774
2018-03,Miaoli,2018-03-16 00:00:00,4.534525806451613,19.749354838709678
2018-03,Pingtung,2018-03-16 00:00:00,5.357106451612903,23.026129032258062
2018-03,Taichung,2018-03-16 00:00:00,4.534525806451613,20.36032258064516
2018-03,Tainan,2018-03-16 00:00:00,5.0185258064516125,22.68967741935484
2018-03,Taipei,2018-03-16 00:00:00,4.225422580645161,18.131612903225808
2018-03,Taitung,2018-03-16 00:00:00,4.672367741935484,19.743548387096773
2018-03,Taoyuan,2018-03-16 00:00:00,4.378912903225806,18.131612903225808
2018-03,Yunlin,2018-03-16 00:00:00,5.0185258064516125,18.678709677419352
2018-04,Changhua,2018-04-15 12:00:00,4.86616,23.697666666666667
2018-04,Chiayi,2018-04-15 12:00:00,4.926333333333333,22.014333333333333
2018-04,Hsinchu,2018-04-15 12:00:00,4.86616,21.461666666666666
